,0
0,53.07251
1,51.76166
2,43.800083
3,44.773964
4,47.583263
5,48.253643
6,47.668987
7,48.314228
8,49.1319
9,48.992393
10,50.964493
11,52.3972
12,52.048622
13,54.58069
14,54.844673
15,53.40361
16,52.734333
17,52.699455
18,51.513844
19,51.146538
20,51.257965
21,50.985485
22,51.23947
23,50.95769
24,51.141308
25,51.03394
26,51.134815
27,51.153717
28,50.31733
29,50.0039
30,50.283073
31,50.114243
32,49.92721
33,49.506935
34,49.179317
35,48.94103
36,48.383705
37,48.11742
38,47.64245
39,47.340828
40,46.94461
41,46.55701
42,45.94157
43,45.56863
44,45.56984
45,45.43328
46,45.031364
47,44.79497
48,44.630913
49,44.35894
50,44.04094
51,43.86092
52,43.693542
53,43.71145
54,43.598934
55,43.5855
56,43.715923
57,43.6047
58,43.287
59,43.193108
60,43.022198
61,43.001045
62,42.974297
63,42.949898
64,42.829056
65,42.583134
66,42.16275
67,41.637455
68,41.127327
69,40.981403
70,40.91304
71,40.905483
72,40.61744
73,40.484245
74,40.277622
75,40.059975
76,39.835667
77,39.61812
78,39.60032
79,39.539623
80,39.235836
81,39.2376
82,39.032387
83,39.063602
84,39.057983
85,38.891075
86,38.866596
87,38.69513
88,38.573486
89,38.27768
90,37.98948
91,37.70692
92,37.430027
93,37.148132
94,36.871094
95,36.613125
96,36.6337
97,36.507378
98,36.31095
99,36.25993
100,36.089935
101,35.997124
102,35.94923
103,35.769535
104,35.775494
105,35.771675
106,35.78835
107,35.81526
108,35.968624
109,35.93125
110,35.80504
111,35.76163
112,35.640392
113,35.55165
114,35.62548
115,35.658405
116,35.669403
117,35.693592
118,35.629776
119,35.64835
120,35.64986
121,35.540016
122,35.372917
123,35.292263
124,35.26614
125,35.167824
126,35.084854
127,35.036877
128,34.966476
129,34.87603
130,34.78274
131,34.761765
132,34.63965
133,34.489056
134,34.43666
135,34.345715
136,34.291603
137,34.369102
138,34.335995
139,34.385715
140,34.408688
141,34.337425
142,34.285492
143,34.21744
144,34.107365
145,34.08467
146,34.02177
147,33.972546
148,33.951035
149,33.875153
150,33.888954
151,33.834045
152,33.807987
153,33.788155
154,33.75696
155,33.725822
156,33.7878
157,33.68045
158,33.58931
159,33.553825
160,33.47583
161,33.3677
162,33.268394
163,33.29927
164,33.239315
165,33.164825
166,33.115013
167,33.02592
168,33.015476
169,32.908176
170,32.854225
171,32.8349
172,32.824406
173,32.755184
174,32.724686
175,32.683807
176,32.69518
177,32.667576
178,32.64373
179,32.591362
180,32.54816
181,32.535
182,32.588726
183,32.590088
184,32.55852
185,32.52902
186,32.55897
187,32.498753
188,32.51302
189,32.48211
190,32.454086
191,32.379337
192,32.331547
193,32.312725
194,32.30867
195,32.344246
196,32.355507
197,32.325348
198,32.357
199,32.307472
200,32.33787
201,32.366665
202,32.35344
203,32.310158
204,32.305813
205,32.303085
206,32.317284
207,32.320152
208,32.34845
209,32.32998
210,32.30409
211,32.26076
212,32.329845
213,32.29142
214,32.312855
215,32.316696
216,32.308834
217,32.29766
218,32.319183
219,32.323673
220,32.352707
221,32.35576
222,32.359955
