,0
0,11.716209
1,9.53628
2,8.902513
3,8.27803
4,8.904546
5,9.0865555
6,9.332512
7,9.536588
8,9.342992
9,8.975717
10,8.859724
11,9.199477
12,9.245611
13,9.136321
14,9.080178
15,8.8621235
16,8.768068
17,8.738157
18,8.604711
19,8.608154
20,8.430754
21,8.31975
22,8.238829
23,8.169829
24,8.030946
25,7.9682136
26,7.846151
27,7.872731
28,7.9426007
29,7.96856
30,7.983575
31,7.941528
32,7.8509135
33,7.7637887
34,7.7769794
35,7.6545124
36,7.551738
37,7.5597725
38,7.5856786
39,7.5702963
40,7.4785976
41,7.496346
42,7.500404
43,7.541395
44,7.51562
45,7.5099726
46,7.4582057
47,7.455568
48,7.523141
49,7.540634
50,7.563698
51,7.536796
52,7.5560813
53,7.5868945
54,7.633175
55,7.643635
56,7.656248
57,7.611444
58,7.590577
59,7.538716
60,7.5158243
61,7.5459447
62,7.574624
63,7.5669484
64,7.557466
65,7.5282693
66,7.5173664
67,7.4697485
68,7.426167
69,7.4630466
70,7.486248
71,7.444969
72,7.4352083
73,7.4273887
74,7.4179454
75,7.393558
76,7.4131193
77,7.373048
78,7.3829246
79,7.3404565
80,7.291361
81,7.270378
82,7.239799
83,7.251588
84,7.219062
85,7.260325
86,7.308163
87,7.2929106
88,7.2602897
89,7.256511
90,7.274371
91,7.2938085
92,7.297768
93,7.3109727
94,7.3085914
95,7.3018556
96,7.30786
97,7.287713
98,7.2552686
99,7.2181506
100,7.18068
101,7.159275
102,7.148312
103,7.1530757
104,7.142533
105,7.1492996
106,7.1451087
107,7.1533113
108,7.1282415
109,7.1092825
110,7.109113
111,7.0940695
112,7.0964227
113,7.1092343
114,7.109681
115,7.1205106
116,7.128055
117,7.1402397
118,7.1573887
119,7.1647587
120,7.1740623
121,7.207259
122,7.1976094
123,7.221458
124,7.2636027
125,7.2301235
126,7.2227674
127,7.2097535
128,7.1799326
129,7.183592
130,7.1846924
131,7.1799407
132,7.162111
133,7.127092
134,7.1060877
135,7.1194773
136,7.1059175
137,7.1040015
138,7.0966344
139,7.108223
140,7.1308637
141,7.1309075
142,7.1414895
143,7.1308575
144,7.1242414
145,7.132209
146,7.1406875
147,7.1208596
148,7.1184893
149,7.100063
150,7.092775
151,7.065099
152,7.06387
153,7.0789366
154,7.08264
155,7.0544205
156,7.0751143
157,7.081021
158,7.0814233
159,7.071318
160,7.055307
161,7.026771
162,7.0141277
163,7.0221343
164,7.011362
165,6.9948225
166,6.9819546
167,6.962061
168,6.9498653
169,6.941593
170,6.9549966
171,6.9573665
172,6.954346
173,6.9537163
174,6.9448996
175,6.9510407
176,6.968158
177,6.980976
178,6.995796
179,7.010119
180,7.002293
181,6.9959145
182,7.011983
183,7.00847
184,7.019598
185,7.011327
186,7.0140705
187,7.0121026
188,7.0290504
189,7.04209
190,7.032761
191,7.040632
192,7.0457034
193,7.0528803
194,7.0391626
195,7.0592165
196,7.084891
197,7.076688
198,7.0869308
199,7.0928993
200,7.106745
201,7.1003804
202,7.102578
203,7.1021066
204,7.118829
205,7.1176662
206,7.116184
207,7.1186895
208,7.110689
209,7.1162105
210,7.12758
211,7.135901
212,7.142133
213,7.142041
214,7.1344643
215,7.132177
216,7.140022
217,7.155027
218,7.153094
219,7.1588473
220,7.1503215
221,7.149427
222,7.146409
223,7.1560736
224,7.1627274
225,7.1637435
226,7.174183
227,7.1889668
228,7.1898603
229,7.1901283
230,7.187207
231,7.2082214
232,7.2208447
233,7.2176933
234,7.237058
235,7.232471
236,7.241365
237,7.245611
238,7.2469463
239,7.24787
240,7.2462373
241,7.2623777
242,7.2630134
243,7.248724
244,7.2506084
245,7.2565517
246,7.257626
247,7.2707467
248,7.276603
249,7.263842
250,7.262144
251,7.274628
252,7.2692127
253,7.2718863
254,7.275294
255,7.2758565
256,7.2864122
257,7.285169
258,7.2843
259,7.2921247
260,7.2862477
261,7.292758
262,7.2972665
263,7.3133497
264,7.32486
265,7.325335
266,7.3289475
267,7.3330536
268,7.3309746
269,7.332649
270,7.332635
271,7.3432817
272,7.3491163
273,7.352285
274,7.3628345
275,7.364633
276,7.368025
277,7.365716
278,7.370508
279,7.3733206
280,7.3730392
281,7.367178
282,7.372226
283,7.369949
284,7.3698072
285,7.3624797
286,7.36413
287,7.36635
288,7.3541164
289,7.352072
290,7.3477316
291,7.344111
292,7.339264
293,7.3327904
294,7.332595
295,7.333012
296,7.327313
297,7.3231997
298,7.3232436
299,7.3215
300,7.326738
301,7.327204
302,7.325199
303,7.33209
